time,breath
0,0
1,-0.10
2,-0.25
3,-0.40
4,-0.50
5,-0.40
6,-0.20
7,-0.15
8,-0.10
9,0.05
9.5,0.25
10,0.50
10.5,0.70
11,0.85
11.5,0.90
12,0.90
12.5,0.90
13,0.90
13.5,0.90
14,0.88
14.5,0.82
15,0.70
15.5,0.50
16,0.25
16.5,0.05
17,-0.15
18,-0.25
19,-0.15
20,0.05
21,0.05
22,0.15
22.5,0.30
23,0.50
23.5,0.70
24,0.85
24.5,0.90
25,0.90
25.5,0.90
26,0.90
26.5,0.90
27,0.88
27.5,0.82
28,0.70
28.5,0.50
29,0.25
29.5,0.05
30,-0.15
31,-0.25
32,-0.15
33,-0.10
34,0.00
35,0.05
35.5,0.20
36,0.40
36.5,0.60
37,0.78
37.5,0.88
38,0.90
38.5,0.90
39,0.90
39.5,0.90
40,0.90
40.5,0.88
41,0.82
41.5,0.70
42,0.50
42.5,0.25
43,0.05
44,-0.15
45,-0.25
46,-0.15
47,0
48,0
49,-0.10
50,-0.25
51,-0.40
52,-0.50
53,-0.40
54,-0.20
55,-0.10
56,0.05
57,0.25
58,0.50
59,0.70
60,0.85
61,0.90
62,0.90
63,0.90
64,0.90
65,0.88
66,0.75
67,0.55
68,0.30
69,0
70,-0.15
71,-0.25
72,-0.15
73,0
74,0.05
75,0.20
76,0.40
77,0.60
78,0.78
79,0.88
80,0.90
81,0.90
82,0.90
83,0.90
84,0.88
85,0.75
86,0.55
87,0.30
88,0
89,-0.15
90,-0.25
91,-0.15
92,0
93,0.05
94,0.20
95,0.40
96,0.60
97,0.78
98,0.88
99,0.90
100,0.90
101,0.90
102,0.90
103,0.88
104,0.75
105,0.55
106,0.30
107,0
108,-0.15
109,-0.25
110,-0.15
111,0
112,0.05
113,0.20
114,0.40
115,0.60
116,0.78
117,0.88
118,0.90
119,0.90
120,0.90
121,0.90
122,0.88
123,0.75
124,0.55
125,0.30
126,0
127,-0.15
128,-0.25
129,-0.15
130,0
